,GeneID,GSM4996084,GSM4996085,GSM4996086,GSM4996087,GSM4996088,GSM4996089,GSM4996090,GSM4996091,GSM4996092,GSM4996093,GSM4996094,GSM4996095,GSM4996096,GSM4996097,GSM4996098,GSM4996099,GSM4996100,GSM4996101
81,107985729,0.0,0.02827,0.0,0.0,0.0,0.0,0.0,0.02774,0.02817,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
82,64856,0.4237,0.488,0.427,0.3973,0.4172,0.4072,0.4349,0.2078,0.3853,0.2671,0.2416,0.149,0.6075,0.5046,0.4109,0.3472,0.2375,0.3627
83,219293,0.2282,0.1606,0.1861,0.1498,0.1091,0.2367,0.1011,0.1155,0.1173,0.09935,0.0535,0.119,0.1569,0.1364,0.1666,0.1135,0.08283,0.09035
84,83858,4.791,4.065,6.342,4.218,5.389,3.891,3.168,2.849,2.683,3.07,3.109,3.062,4.668,4.155,4.212,3.429,3.6,3.843
85,55210,11.99,9.735,10.1,9.381,9.776,8.189,8.273,7.611,7.771,7.602,7.918,8.509,11.77,10.42,10.67,8.346,8.302,9.547
86,339453,0.8739,0.7488,0.9722,0.9082,0.6785,1.104,0.7973,0.9993,0.567,0.7297,0.8608,0.5753,0.9148,0.8398,0.9325,1.2,0.7339,0.7865
87,29101,57.59,55.5,46.79,47.94,40.03,53.7,66.03,52.44,56.62,61.78,60.7,58.04,60.3,57.89,57.7,58.35,59.57,60.36
88,643988,2.273,2.434,1.829,2.476,2.404,3.014,5.786,5.523,5.2,7.185,6.302,4.961,3.379,3.475,3.416,3.213,2.988,2.959
89,105378586,0.3246,0.2892,0.2515,0.08434,0.3276,0.2665,0.683,0.4967,0.5764,0.7551,0.4518,0.8042,0.3534,0.3687,0.7505,0.6817,0.6528,0.4069
90,142678,3.697,3.517,6.382,5.142,6.071,4.44,3.753,3.589,3.461,3.941,3.999,3.689,4.197,3.59,3.822,4.109,3.643,3.802
91,8510,0.2351,0.4789,0.399,0.4712,0.5763,0.4595,0.5654,0.4846,0.5219,0.4861,0.4862,0.4085,0.3839,0.4768,0.4193,0.4232,0.3667,0.4351
92,984,12.31,11.35,13.44,10.78,11.96,10.21,9.72,9.377,9.125,10.11,10.59,9.93,11.44,11.26,10.98,9.976,10.7,11.09
93,728661,11.8,12.22,12.72,13.91,15.75,14.77,9.419,10.93,10.47,10.42,11.73,11.59,12.85,12.22,13.01,14.24,15.18,14.86
94,8511,0.05123,0.2283,0.1058,0.1065,0.362,0.3365,0.4704,0.3136,0.5913,0.3178,0.4564,0.3231,0.1673,0.2909,0.2369,0.4304,0.1177,0.2997
95,728642,13.09,12.29,17.28,13.55,16.24,11.86,10.82,10.85,10.08,10.97,10.91,11.71,13.9,12.63,12.44,11.59,11.79,12.85
96,9906,4.141,4.319,5.769,5.547,6.709,5.146,3.694,4.061,3.891,4.091,4.384,4.298,4.785,4.754,5.206,5.484,5.585,5.81
97,112268218,1.508,1.079,1.321,1.353,1.383,1.2,2.028,1.638,1.744,1.748,1.78,1.379,1.418,1.531,1.479,1.367,1.444,1.317
98,65220,8.003,7.286,8.833,8.034,8.152,7.803,9.27,9.031,9.162,9.452,9.652,8.869,8.793,8.51,8.472,8.366,8.485,8.555
99,2782,111.3,107.3,99.74,94.74,89.37,96.5,115.2,120.6,115.7,110.9,109.8,111.1,107.4,106.6,104.6,92.11,89.46,97.06
